"name","location","what it does","application","update or deprecate","how to update / reason for deprecation","phase"
"Swagger API contract","sugarwish-laravel public/docs/swagger.yaml","docs: OpenAPI spec for the ""Sugarwish Odoo API"" — documents ONLY the inbound /api/odoo/* surface (token, order pulls, ACK-backs whose responses carry oddo_synchronized / component_imported)","Laravel","DEPRECATE","the entire documented API retires with the inbound Odoo REST surface — delete/archive the spec with it (nothing to scrub; it describes nothing else)","after cutover"
"Odoo inventory push-back Lambda","sugarwish-laravel sidecar (SynchronizeOdooInventory Lambda)","WRITE-BACK Odoo→Laravel (XML-RPC via Ripoo, shards product_id % 10): reads the odoo_inventory table and writes receiver_products.inventory_qty; disable-only (never re-enables); its n8n trigger (6LYL1ThTQOCg1Fj8) stopped Dec 31 2025, leaving it partly stale; CloudWatch shows odoo_inventory reads every ~2 min (index.py:35 LEFT JOIN) — a bad read disabled products in the Mar-31 incident","Laravel","DEPRECATE","turn off at cutover — availability is served by the receiver_product_inventory / component_product_inventory views","at cutover"
"Odoo component inventory push","sugarwish-laravel Odoo/Component/UpdateController.php:28 → Component::updateInventoryFromOdoo()","WRITE: inbound Odoo→Laravel push writing components.inventory_quantity — already dead: the live column is renamed inventory_quantity(deleted), so every write lands nowhere; the live component surface is the component_locations pivot's inventory_qty","Laravel","DEPRECATE","already resolved in practice (target column deleted); remove the endpoint + updateInventoryFromOdoo() in the post-cutover Laravel cleanup so it can't resurface as a migration-day surprise","after cutover"
"components.inventory_source flag","laravel_live components.inventory_source (2,527 odoo vs 3 serp)","column: component-side Odoo-vs-SERP source-of-truth enum; nothing in the flip keys on it","Laravel","DEPRECATE","deprecated — legacy enum, no flip step needed; drop the column in the post-cutover Laravel cleanup","after cutover"
"Component inventory_source reads","sugarwish-laravel ReceiverOrderService.php:1279,1317,1361,1463,1636","READ: copies components.inventory_source onto component_orders during order processing — the enum's only live readers","Laravel","DEPRECATE","remove the copy logic when components.inventory_source drops (post-cutover cleanup)","after cutover"
"CSV export: rolling_14_day","laravel_live csv_exports row 1287 · owner jahan","READ: selects oddo_synchronized from ec_order over a rolling 14-day window [ACTIVE: active=1, 6x/day]","CSV exports","UPDATE","post-freeze the column is frozen at 0 for every order in the window — swap it for the serp_* successor signal (EXISTS serp_sale_order on the order id) or drop the column, confirm with Jahan which his consumer needs; ships in the same hand-run csv_exports UPDATE as rows 1098/1238/1315","at cutover"
"SERP Odoo direct-DB read pool","SERP/backend/pools/odoo.py:69-537","READ-only: asyncpg pool (min 2/max 5) to Odoo.sh prod Postgres — every live Odoo read in the app flows through it","SERP","DEPRECATE","retarget ALL app reads at cutover to the canonical serp_* tables (co-hosted in laravel_live — same tables the views read); then delete the pool at cutover — no mirror or flipped drift monitor keeps it alive (Odoo freezes read-only at the flip)","at cutover"
"SERP Odoo connection config","SERP/backend/config.py:43-88,537-656","CONFIG: defines prod+staging XML-RPC creds (ODOO_URL/DB/USERNAME/PASSWORD) and direct-PG creds (ODOO_DB_*/ODOO_STAGING_DB_*); ODOO_ENV picks which is active","SERP","DEPRECATE","no mirror leg needs the creds — delete all ODOO_* env vars + config methods (and k8s secrets / .env.example entries) at cutover","at cutover"
"SERP Odoo XML-RPC write service","SERP/backend/services/odoo_xmlrpc_service.py:84-746","WRITE: the single gateway for all runtime-app SERP→Odoo writes (create/write/unlink/execute_kw, action_confirm, button_mark_done) plus small verification reads; generator/seeding scripts write to Odoo on their own ServerProxy outside this gateway (see generator-scripts row)","SERP","DEPRECATE","disable pushes at cutover — nothing writes to Odoo after the flip-day seed; keep the module (the sync-queue's circuit_breaker.py and routers/inventory_sync.py:53 import it, and the queue survives the cutover) — delete only at decommission once those callers are re-pointed","at cutover"
"SERP Odoo sync queue worker","SERP/backend/workers/odoo_sync_worker.py:752-955 (poll loop; 15s interval at :32)","WRITE: polls odoo_sync_queue every 15s and pushes queued ops via XML-RPC — POs/receipts/returns/vendor bills, pickings, inventory adjustments, MOs, BOM changes, scrap, unbuild, locations, product create/archive","SERP","update","The queue and worker STAY — SERPY's draft->approve pipeline keeps executing through them; at the flip the handlers' destination switches to serp_orm (behind the SERP switchover flag). Only the XML-RPC push path retires. Triage any DLQ'd/stuck-'processing' items before the flip (they don't auto-recover)","at cutover"
"SERP manufacturing write handlers","SERP/backend/workers/handlers/manufacturing.py:16-994","WRITE (via sync worker): MO create/confirm/close, BOM + BOM-line create/edit, unbuild — SERPY's approved-draft execution path","SERP","UPDATE","flip the primary write to serp_orm (serp_mrp_production / serp_mrp_bom(_line), SERP ids); no Odoo leg — new records carry odoo_id=NULL (no mirror; Odoo frozen at cutover)","before cutover"
"SERP purchasing write handlers","SERP/backend/workers/handlers/purchasing.py","WRITE (via sync worker): PO create, receipt/return validation, PO state changes, vendor bill create+post (purchase_order, stock_picking, account_move)","SERP","UPDATE","flip the primary write to serp_orm (serp_purchase_order(_line) + SERP-native receipt/picking validation and vendor bills, SERP ids — accounting cuts over WITH inventory); no Odoo leg — new records carry odoo_id=NULL (no mirror; Odoo frozen at cutover)","before cutover"
"SERP stock write handlers","SERP/backend/workers/handlers/stock.py","WRITE (via sync worker): inventory adjustments, transfers/pickings, scrap, picking corrections, new stock locations","SERP","UPDATE","flip the primary write to serp_orm (serp_stock_move / serp_stock_quant / serp_stock_location / serp_stock_scrap, SERP ids); no Odoo leg — new records carry odoo_id=NULL (no mirror; Odoo frozen at cutover)","before cutover"
"SERP multi-target product handlers","SERP/backend/workers/handlers/multi_target.py:128-601","WRITE (via sync worker): product create/update fan-out to Odoo product_template/product_product (paired with Laravel/SERP targets)","SERP","UPDATE","SERP (serp_product_template/serp_product_product) becomes the primary ERP target; keep the SERP + Laravel legs — no Odoo leg (no mirror; Odoo frozen at cutover)","before cutover"
"SERP inventory-count sync","SERP/backend/routers/inventory_sync.py + backend/services/inventory_sync/sync_executor.py","WRITE: applies verified physical counts to Odoo as stock.quant adjustments via XML-RPC","SERP","UPDATE","apply counts to serp_stock_quant via serp_orm as the primary; no Odoo mirror leg (Odoo frozen at cutover)","before cutover"
"SERP carton-count import script","SERP/scripts/import_carton_counts.py:28-108","WRITE (manual CLI): CSV → Odoo prod inventory adjustments via XML-RPC","SERP","DEPRECATE","its XML-RPC write target dies with Odoo; one-off manual script — delete (rewrite against serp_stock_quant only if still needed)","after cutover"
"SERP reports router","SERP/backend/routers/reports.py:160-1583","READ: 15 live queries — inventory valuation, COGS, PO tracking, mfg cost, material flow, roll-forward, vendor perf, book-vs-actual (stock_valuation_layer, stock_move, stock_quant, purchase_order, mrp_production, account_move)","SERP","UPDATE","rewrite each *_ODOO_SQL constant against serp_stock_valuation_layer/serp_stock_move/serp_stock_quant/serp_purchase_order/serp_mrp_production/serp_account_move and swap odoo_pool → the SERP pool","before cutover"
"SERP Odoo purchase-orders router","SERP/backend/routers/odoo_purchase_orders.py:167-396","READ: live PO browse/detail/lines/activity (purchase_order, res_partner, stock_picking); its writes ride the sync queue","SERP","UPDATE","rewrite queries against serp_purchase_order(_line)/serp_res_partner/serp_stock_picking and swap odoo_pool → SERP pool","before cutover"
"SERP Odoo product/BOM/MO/location routers","SERP/backend/routers/odoo_products.py + odoo_product_inventory.py + odoo_boms.py + odoo_manufacturing.py + odoo_locations.py","READ: live product search + per-location on-hand, BOM list/detail, MO list/detail/BOM-explosion, stock locations — returns real Odoo ids so pages can stage write ops","SERP","UPDATE","rewrite against serp_product_*, serp_stock_quant, serp_mrp_bom(_line), serp_mrp_production, serp_stock_location; ids returned become SERP ids at cutover (historical rows keep their seeded odoo_id; new records carry odoo_id=NULL)","before cutover"
"SERP Odoo inventory-by-SKU lookup","SERP/backend/crud/crud_odoo_inventory.py:49-184","READ: on-hand/available by SKU aggregated over internal locations (stock_quant)","SERP","UPDATE","Odoo on-hand maps to the view: read rpi.on_hand_qty (and rpi.available_qty for the available figure) per SKU instead of re-aggregating quants. Code: SUM(stock_quant.quantity) over internal locations -> rpi.on_hand_qty; available -> rpi.available_qty.","before cutover"
"SERP warehouse-ops router","SERP/backend/routers/warehouse_ops.py","READ: populates the manual transfer/adjustment/BOM/MO forms from live Odoo products/locations/BOMs (writes ride the sync queue)","SERP","UPDATE","populate the forms from serp_product_*/serp_stock_location/serp_mrp_bom; staged writes ride the updated handlers","before cutover"
"SERP wine dashboard","SERP/backend/routers/wine_dashboard.py","READ: Odoo sales data for the wine dashboard (combined with Sugarwish/Shopify)","SERP","UPDATE","rewrite the Odoo query against serp_* sales tables","before cutover"
"SERP fulfillment-throughput service","SERP/backend/services/fulfillment_throughput.py:427-428","READ: MO + unbuild counts (mrp_production, mrp_unbuild) for the throughput dashboard","SERP","UPDATE","rewrite against serp_mrp_production / serp_mrp_unbuild","before cutover"
"SERP forecast pipelines","SERP/backend/services/forecast/* + backend/sql/{forecast,cost_tracker,live_products}/odoo/*.sql (18 files) + direct odoo_pool callers: crud_component_forecast.py, crud_forecast_bom.py:91, inventory_count/crud_quality.py, forecast_cache.py:252, ecard_inventory.py:217","READ: the forecast engine's live Odoo inputs — RM/SA inventory, unreserved qty, BOM components/variance, open/recent POs, MOs, SKU costs; core-sku-report cron 8:05am MT daily","SERP","UPDATE","port each sql/**/odoo/*.sql to a serp_* equivalent (add sql/**/serp/ variants), then swap execute_odoo_query/odoo_pool → SERP pool in the pipeline services — including the five direct callers that bypass the .sql files","before cutover"
"SERP cron: data-assumptions checker","SERP/backend/workers/crons.py:162 → data_assumptions/checker.py","READ: live cron running data-assumption checks against the Odoo pool — the Odoo-targeted checks go dark at decommission","SERP","UPDATE","migrate the Odoo-targeted checks (14 db: odoo entries in data_assumptions/registry.yaml) to serp_* equivalents after the cutover — unmigrated entries alert as errored forever once Odoo is gone; SERP-side checks keep running unchanged","after cutover"
"SERP inventory-variance service","SERP/backend/services/inventory_variance_pkg/ + backend/sql/inventory_variance/odoo/*.sql (5 files)","READ: beginning inventory, purchases (+ BOM breakdown), sales for the variance report (stock_valuation_layer, purchase_order, sale_order, stock_move, mrp_bom)","SERP","UPDATE","port the 5 .sql files to serp_stock_valuation_layer/serp_purchase_order/serp_sale_order/serp_stock_move/serp_mrp_bom and swap the pool","before cutover"
"SERP pack-tomorrow service","SERP/backend/services/pack_tomorrow/data.py","READ: live Odoo for the pack-tomorrow alert; cron 4pm MT daily","SERP","UPDATE","rewrite data.py queries against serp_* and stop passing odoo_pool in from the router","before cutover"
"SERP location-move + vendor-inventory-upload","SERP/backend/services/location_move_service.py + vendor_inventory_upload_service.py + inventory_sync/data_sources.py","READ: live locations/products/quants for location-move plans, vendor inventory diffs, and count-vs-Odoo sync previews","SERP","UPDATE","rewrite reads against serp_stock_location/serp_stock_quant/serp_product_*; the count-vs-Odoo preview becomes count-vs-SERP","before cutover"
"SERPY read backends","SERP/backend/serpy/backends/odoo/*.py","READ-only (confirmed — no xmlrpc in the backends): SERPY's live lookups — products, SKU locations, BOMs, MOs, locations, POs, supplier pricelists, pickings; its writes go through the draft→sync-queue path","SERP","UPDATE","rewrite each backend module's odoo_query SQL against serp_* and point core.py at the SERP pool; tool interfaces stay the same. Slack messages keep showing Odoo ids until the cutover; SERP ids after","before cutover"
"SERPY name resolver","SERP/serpy/ops/name_resolver.py:142 (_query_odoo_names)","READ: batch SELECTs against Odoo Postgres to hydrate draft display names; returns {} on error, so at decommission it degrades to blank names silently (a lookup smoke test still passes)","SERP","UPDATE","a SERP-DB resolver already exists alongside the Odoo one — switch draft-name hydration to it at the flip; the Odoo path retires with the rest","at cutover"
"SERP darklaunch drift monitor","SERP/backend/workers/darklaunch_drift/worker.py","READ: hourly cron (06:00-18:00 MT weekdays) diffing Odoo prod vs the darklaunch MySQL replica (stock_picking, sale_order, GMV signatures, cancel states, mrp_bom_line) → Slack drift alerts","SERP","DEPRECATE","retire at cutover — no mirror means no Odoo copy to diff; the darklaunch-direction monitor ends when darklaunch ends","at cutover"
"SERP darklaunch odoo_id stamper","SERP/backend/workers/darklaunch_order_worker.py + backend/pools/odoo.py:475-519","READ: looks up Odoo cross-reference ids (pickings/moves/products) to stamp odoo_id onto darklaunch replica rows","SERP","DEPRECATE","this darklaunch-direction stamper retires at cutover — odoo_id stamping ends entirely (no mirror; new records carry odoo_id=NULL); delete the execute_query_via_loop bridge with the pool. The darklaunch shadow DBs (serp_prod_darklaunch local, serp_test on Hetzner) retire with it at cutover","at cutover"
"SERP seeding + compare scripts","SERP/seeding/scripts/ (_db_helpers.py get_odoo_connection[_prod] + seed_*/compare_* consumers)","READ (own direct asyncpg connections, not the app pool): seed serp_*/replica tables from live Odoo (products, BOMs, quants, moves, users, account moves); compare scripts diff Odoo vs the SERP replica","SERP","DEPRECATE","run the FINAL authoritative seed of the laravel_live serp_* tables fresh from Odoo AT the flip, then seeding-from-Odoo ends (SERP becomes master); delete get_odoo_connection[_prod] and the compare scripts","at cutover"
"SERP odoo-shell paste script","SERP/seeding/scripts/odoo_shell_popcorn_boms.py","WRITE (manual — pasted into odoo-bin shell, not a SERP runtime connection): popcorn-flavor BOM setup","SERP","DEPRECATE","delete; retires with Odoo","after cutover"
"SERP generator scripts (sugarwish_id sync)","SERP/generators/generate_all.py:183-187 + generators/gen_sync_sugarwish_ids.py","WRITE (own ServerProxy, bypasses the XML-RPC service): writes sugarwish_id onto Odoo prod product.template during generator runs; gen_sync_sugarwish_ids emits a standalone 07_sync_sugarwish_ids.py with its own ServerProxy+write","SERP","DEPRECATE","stop the Odoo write step at cutover — sugarwish_id cross-referencing to Odoo ends when SERP is master; delete with the rest at decommission","at cutover"
"SWAC SWIM query library","SWAC/server/swim/tools/_data/sugarwish-query-library.json:1015,1140","READ: agent-callable SWIM queries; 1015 reads the flag, 1140 filters WHERE oddo_synchronized != ""1"" as 'unsynced orders' [ACTIVE: SWIM tools]","SWAC","update","Line 1140's != ""1"" predicate reports every order as unsynced post-cutover — an agent asking ""what's unsynced?"" fabricates an incident. Drop the predicate or retire the query","at cutover"
"Checkout sync-flag writes","sugarwish-laravel/app/Http/Controllers/ReceiverConfirmPostController.php:361,446,449","WRITE: stamps oddo_synchronized at order creation — 5 for bypass_odoo product types (12 types, ~28 orders/wk), 0 otherwise [ACTIVE: checkout/redemption paths]","Laravel","deprecate","Outside the /api/odoo surface so it survives that deprecation — but writes to a dead column post-cutover; rehome the = 5 'bypasses fulfillment' fact if SERP needs it","after cutover"
"Bypass-Odoo flag writes","sugarwish-laravel ReceiverOrderService.php:621,710,713,1019","WRITE: additional flag-5 stampers — set oddo_synchronized / items.odoo_sync = 5 for bypass-Odoo product types, beyond the covered ReceiverConfirmPostController writes","Laravel","DEPRECATE","same disposition as the checkout sync-flag writes row: dead writes to a frozen column post-cutover; remove with the flag machinery once the bypass fact is rehomed (SERP detection keys on product_type.bypass_odoo)","after cutover"
"Admin cancel flag resets","sugarwish-laravel Admin/CancelReceiverOrderController.php:30 + Admin/PreselectController.php:570","WRITE: admin cancel paths reset oddo_synchronized = 0 to force an Odoo re-pull [ACTIVE: admin routes]","Laravel","deprecate","Nothing re-pulls post-cutover — dead writes; remove with the rest of the flag machinery","after cutover"
