"name","location","what it does","application","deprecate or update","how to update / reason for deprecation","phase"
"Pack Tomorrow queries","SERP/backend/services/pack_tomorrow/queries.py","READ: pack-tomorrow availability = GREATEST(inventory_qty - holds - prelist_qty, 0) [ACTIVE: /pack-tomorrow route]","SERP","update","Repoint availability to GREATEST(receiver_product_inventory.available_qty, 0) — packing needs physical availability, so prelist stays excluded (available = sellable - prelist). Code: GREATEST(inventory_qty - holds - prelist_qty, 0) -> GREATEST(rpi.available_qty, 0).","at cutover"
"Wine dashboard","SERP/backend/routers/wine_dashboard.py","READ: wine dashboard; available = inventory_qty - prelist_qty [ACTIVE: router mounted in main.py]","SERP","update","Repoint available to receiver_product_inventory.available_qty (its old math netted prelist out); drop its own prelist netting. Code: available: inventory_qty - prelist_qty -> rpi.available_qty.","at cutover"
"Forecast inventory CRUD","SERP/backend/crud/crud_forecast_inventory.py","READ: forecast core read (orchestrates combined_sa_data + Odoo sa_inventory) [ACTIVE: live forecast pipeline]","SERP","update","Two legs, two columns: the combined_sa_data leg (inventory_qty - prelist) moves to rpi.available_qty; the Odoo sa_inventory leg pulls Odoo on-hand, which maps to rpi.on_hand_qty (Odoo-sourced stock = on-hand). Code: combined_sa_data -> rpi.available_qty; odoo sa_inventory -> rpi.on_hand_qty.","at cutover"
"SERP cron: Core SKU Daily Report","SERP/backend/workers/crons.py:70 (core-sku-report) -> backend/services/forecast/core_sku_report/queries.py:47","READ: reads p.inventory_qty AS parent_inventory for the daily core-SKU report [ACTIVE cron: daily 08:05 America/Denver]","SERP","update","Repoint parent_inventory to receiver_product_inventory.sellable_qty. Code: p.inventory_qty AS parent_inventory -> rpi.sellable_qty AS parent_inventory.","at cutover"
"SERP cron: Pack-Tomorrow Daily Alert","SERP/backend/workers/crons.py:49 (pack-tomorrow) -> backend/services/pack_tomorrow/queries.py:140","READ: reads p.inventory_qty for pack-tomorrow availability alert [ACTIVE cron: daily 16:00 America/Denver]","SERP","update","Repoint to receiver_product_inventory.available_qty (same swap as Pack Tomorrow queries). Code: GREATEST(inventory_qty - holds - prelist_qty, 0) -> GREATEST(rpi.available_qty, 0).","at cutover"
"WishDesk availability check","SWAC/server/services/receiver-product-availability.ts","READ: sellable check (inventory_qty > 0, inventory_link parent rollup, nets reservations, drop_level floor) [ACTIVE: /api/proposal-op Add-to-Cart recheck]","SWAC","update","Repoint sellable check to receiver_product_inventory.sellable_qty > 0; keep the inventory_link parent swap and drop_level floor; drop its own reservation netting (view nets it). Code: inventory_qty > 0, inventory_qty - holds >= drop_level -> rpi.sellable_qty > 0 / >= drop_level.","at cutover"
"WishDesk catalog service","SWAC/server/services/receiver-product-catalog-service.ts","READ: catalog what's orderable (same math as availability check) [ACTIVE: /api/receiver-products catalog route]","SWAC","update","Same swap as the availability check: receiver_product_inventory.sellable_qty via the view; keep the inventory_link parent swap. Code: inventory_qty - holds -> rpi.sellable_qty (drop the inventory_reservations join).","at cutover"
"SWIM reserve-prepick tool","SWAC/server/swim/tools/reserve-prepick-inventory.ts:99-117","READ: agent-callable prepick reservation tool — computes availability as inventory_qty − active reservations, the same math as the Laravel netting checks [ACTIVE: SWIM tools]","SWAC","update","repoint to receiver_product_inventory.sellable_qty and drop the local reservation netting (the view nets active holds); rides the SWAC release","at cutover"
"Core SKU Live Warnings","n8n Core SKU Live Warnings (m9zWbB4VqSVH4jp5)","Nodes 1a/1d read inventory_qty ((inventory_qty - holds(inventory_reservations)) > drop_level); node 1c reads Odoo product_product/product_template/mrp_bom(_line)/stock_quant/stock_location (Odoo_read cred); writes only Retool alert-state, never receiver_products; posts low-inventory Slack alerts [ACTIVE: every 10 min]","n8n","update","Nodes 1a/1d -> rpi.sellable_qty > drop_level (holds netted by the view); node 1c -> the views for on-hand (SA: rpi.on_hand_qty, RM/components: cpi.on_hand_qty) and serp_mrp_bom(_line) for BOM reads; Retool alert-state writes unchanged. Code: (inventory_qty - holds) > drop_level -> rpi.sellable_qty > drop_level; stock_quant sums -> rpi/cpi.on_hand_qty; mrp_bom* -> serp_mrp_bom(_line)","at cutover"
"CSV export: receiver_inventory","laravel_live csv_exports row 1098 · owner jason","READ: receiver_inventory export [ACTIVE: active=1, 6x/day]","CSV exports","update","Repoint the export SQL to the view's sellable_qty (closest successor to raw inventory_qty — also nets unsynced demand + holds, by design). Code: export SQL: inventory_qty -> rpi.sellable_qty","at cutover"
"CSV export: receiver_products_data","laravel_live csv_exports row 1238 · owner carolyn","READ: receiver_products_data export [ACTIVE: active=1, 6x/day]","CSV exports","update","Repoint the export SQL to the view's sellable_qty (closest successor to raw inventory_qty — also nets unsynced demand + holds, by design). Code: export SQL: inventory_qty -> rpi.sellable_qty","at cutover"
"CSV export: items_odoo_vs_ours_summary","laravel_live csv_exports row 1315 · owner caley","READ: items_odoo_vs_ours_summary export [ACTIVE: active=1, 12x/day]","CSV exports","update","Rebuild the comparison against serp_* — the Odoo leg of the export SQL swaps to the serp_* tables, so post-cutover it compares Laravel vs SERP instead of Laravel vs Odoo. Code: export SQL: odoo comparison legs -> serp_* equivalents","at cutover"
"Google Sheets export","sugarwish-laravel/sidecar/ExportReceiverProductAndInsertsToGoogleDrive/index.py","READ: Google Sheets export [DEPRECATED: commented out in config/sidecar.php; only caller is a manual dev-test route]","Laravel","deprecate","Dead code — unregistered in config/sidecar.php AND its export table list (fileArr) is fully commented out, so it exports nothing even if invoked; delete the sidecar dir and the manual dev-test route","before cutover"
"Pack Predictor CSV download","SERP/frontend/app/forecast/components/PackingPredictor.tsx","READ: Pack Predictor on-hand/prelist display + CSV download [ACTIVE: pack-tomorrow + taylor-packing-predictor pages]","SERP","update","None — frontend only; fetches /forecast/pack-tomorrow, so it inherits whatever the Pack Tomorrow queries row does","at cutover"
"Admin product UI","sugarwish-laravel admin views (receiver-product/{index,add,edit,copy}.blade.php + inventory/create.blade.php)","READ: admin display + edit UI (add = editable input; edit/copy = readonly; transaction form = readonly display) [ACTIVE: live admin routes]","Laravel","update","None — display only; keep the readonly inventory fields on edit/copy (can later display view sellable_qty). OPEN (decided 2026-07-21 Touchbase): first investigate with Ops whether the Laravel receiver-product admin page is still actively used — much of the config is now done via SERP; if unused it need not migrate to SERP and can be retired instead of updated","after cutover"
